label_id,label_name,confidence,box_xtl,box_ytl,box_xbr,box_ybr,frame_id
0,Male,0.63012874,1487.0,356.0,1557.0,414.0,187
1,Female,0.60015905,736.0,259.0,872.0,361.0,187
0,Male,0.6409206,1488.0,356.0,1558.0,414.0,188
0,Male,0.63819754,1489.0,356.0,1558.0,413.0,189
0,Male,0.63236374,1489.0,355.0,1557.0,411.0,190
0,Male,0.60292405,1489.0,354.0,1558.0,408.0,191
0,Male,0.50938827,1491.0,353.0,1557.0,404.0,192
0,Male,0.6133051,1482.0,349.0,1557.0,399.0,193
1,Female,0.60353345,1499.0,119.0,1595.0,197.0,207
1,Female,0.7447519,1515.0,134.0,1605.0,197.0,208
1,Female,0.7657912,1518.0,135.0,1612.0,198.0,209
1,Female,0.7600086,1519.0,135.0,1615.0,197.0,210
1,Female,0.77136874,1519.0,134.0,1611.0,197.0,211
