label,label_id,box_xtl,box_ytl,box_xbr,box_ybr,confidence,frame_id
Female,1,63,254,143,316,0.5530919,114
Male,0,1807,758,1913,901,0.5102999,114
Female,1,702,434,807,512,0.3155495,114
Female,1,62,253,143,316,0.562657,115
Male,0,1817,762,1908,900,0.45462865,115
Male,0,1819,759,1917,909,0.6441498,116
Female,1,64,253,144,316,0.5464151,116
Female,1,702,435,807,512,0.30095416,116
Male,0,1819,760,1918,906,0.7102154,117
Female,1,63,253,143,315,0.5371746,117
Female,1,702,435,807,513,0.3398248,117
Male,0,1815,761,1917,901,0.69933414,118
Female,1,63,253,145,315,0.48325074,118
Female,1,702,435,807,513,0.32347333,118
Male,0,1815,761,1915,901,0.68083155,119
Female,1,64,253,144,315,0.49695918,119
Female,1,702,435,807,513,0.32007334,119
Male,0,1817,758,1915,904,0.7103873,120
Female,1,62,253,144,315,0.5447201,120
Male,0,1815,758,1916,904,0.7122493,121
Female,1,62,253,142,315,0.56315523,121
Male,0,1814,758,1917,903,0.7096333,122
Female,1,64,253,145,315,0.49484694,122
Female,1,703,435,808,512,0.30642062,122
Male,0,1815,757,1917,903,0.71798813,123
Female,1,63,253,144,315,0.518803,123
Female,1,703,435,808,512,0.32013524,123
Male,0,1811,754,1920,902,0.7537544,124
Female,1,63,253,143,315,0.5342487,124
Male,0,1828,754,1920,901,0.5794007,125
Female,1,62,254,141,315,0.5371676,125
Female,1,63,254,143,316,0.57795703,126
Female,1,62,254,142,316,0.5582638,127
Female,1,703,435,808,513,0.30386627,127
Female,1,62,254,142,315,0.5451933,128
Female,1,62,254,141,314,0.5262242,129
Female,1,61,254,139,314,0.51984584,130
Female,1,61,254,140,314,0.5410069,131
Female,1,703,436,807,513,0.32838416,131
Female,1,62,254,142,315,0.5368329,132
Female,1,703,435,807,513,0.31260735,132
Female,1,62,254,141,314,0.5124845,133
Female,1,703,435,807,513,0.32982716,133
Female,1,62,254,141,315,0.5084985,134
Female,1,703,435,808,512,0.30806464,134
Female,1,66,254,147,316,0.60602725,135
Female,1,703,436,808,513,0.36800674,135
Female,1,66,254,147,316,0.5882764,136
Female,1,703,435,808,512,0.36155057,136
Female,1,64,254,146,316,0.5942332,137
Female,1,703,435,808,512,0.39638713,137
Female,1,64,254,145,316,0.63318795,138
Female,1,702,435,808,512,0.3907205,138
Female,1,66,254,146,316,0.5951041,139
Female,1,702,435,808,513,0.408294,139
Female,1,66,254,145,316,0.57618356,140
Female,1,702,435,808,513,0.35319936,140
Female,1,64,254,143,316,0.567319,141
Female,1,703,435,808,513,0.34398413,141
Female,1,65,254,145,316,0.56555843,142
Female,1,67,255,145,316,0.52384025,143
Female,1,66,254,144,316,0.54194045,144
Male,0,740,554,819,631,0.46895966,144
Female,1,65,255,143,317,0.5549465,145
Male,0,740,562,825,634,0.36899278,145
Female,1,66,254,145,316,0.5354977,146
Male,0,739,556,838,626,0.32095134,146
Female,1,66,254,144,315,0.52810997,147
Male,0,740,549,843,618,0.50075346,147
Male,0,740,550,842,619,0.53681546,148
Female,1,66,255,143,316,0.5207421,148
Male,0,741,556,838,624,0.55020154,149
Female,1,66,255,143,315,0.51259553,149
Male,0,741,554,840,622,0.5973625,150
Female,1,65,254,144,315,0.51195127,150
Male,0,740,549,841,619,0.6987135,151
Female,1,67,255,143,315,0.4079739,151
Male,0,739,550,840,617,0.69647235,152
Male,0,739,552,841,618,0.73968315,153
Male,0,738,551,841,617,0.7089466,154
Male,0,739,549,841,616,0.69165796,155
Male,0,739,548,840,616,0.676697,156
Male,0,738,545,839,614,0.6615387,157
Male,0,737,542,836,610,0.62461835,158
Female,1,65,254,145,316,0.5368949,159
Male,0,734,547,838,622,0.39581692,159
Male,0,692,548,834,626,0.34409553,159
Female,1,64,253,146,316,0.54892915,160
Male,0,725,536,839,622,0.33050203,160
Female,1,65,254,146,316,0.5142602,161
Female,1,64,254,144,316,0.5336887,162
