label,label_id,points,type,confidence,frame_id
Male,0.0,"[1498, 217, 1613, 290]",rectangle,0.33242166,324
Female,1.0,"[1881, 641, 1920, 745]",rectangle,0.33089358,324
Female,1.0,"[1498, 238, 1599, 296]",rectangle,0.44252497,325
Female,1.0,"[1881, 639, 1919, 742]",rectangle,0.37991375,325
Female,1.0,"[1880, 637, 1920, 728]",rectangle,0.34077933,326
Male,0.0,"[1489, 237, 1554, 294]",rectangle,0.52235365,327
Female,1.0,"[1879, 631, 1920, 727]",rectangle,0.34862226,327
Male,0.0,"[1489, 238, 1552, 290]",rectangle,0.604407,328
Female,1.0,"[1879, 633, 1920, 727]",rectangle,0.3797173,328
Male,0.0,"[1492, 237, 1552, 288]",rectangle,0.59507287,329
Female,1.0,"[1880, 637, 1920, 730]",rectangle,0.3773015,329
Male,0.0,"[1493, 234, 1553, 287]",rectangle,0.66633075,330
Male,0.0,"[1495, 234, 1553, 288]",rectangle,0.6904378,331
Male,0.0,"[1496, 234, 1553, 287]",rectangle,0.69410026,332
Male,0.0,"[1497, 234, 1553, 287]",rectangle,0.6910107,333
Male,0.0,"[1497, 234, 1554, 289]",rectangle,0.69559515,334
Male,0.0,"[1499, 235, 1554, 289]",rectangle,0.6798271,335
Male,0.0,"[1503, 234, 1556, 289]",rectangle,0.71080005,336
Male,0.0,"[1498, 234, 1559, 295]",rectangle,0.5709983,337
Female,1.0,"[745, 292, 847, 369]",rectangle,0.4618222,380
Female,1.0,"[733, 299, 849, 381]",rectangle,0.65273184,381
Female,1.0,"[729, 315, 836, 384]",rectangle,0.66233003,382
Female,1.0,"[727, 318, 835, 385]",rectangle,0.6543427,383
Female,1.0,"[730, 319, 835, 386]",rectangle,0.6834529,384
Female,1.0,"[733, 318, 836, 384]",rectangle,0.705601,385
Female,1.0,"[735, 314, 840, 384]",rectangle,0.6991134,386
Female,1.0,"[738, 315, 845, 383]",rectangle,0.67926407,387
Female,1.0,"[738, 314, 847, 384]",rectangle,0.6826607,388
Female,1.0,"[737, 315, 847, 385]",rectangle,0.6823656,389
Female,1.0,"[735, 316, 838, 386]",rectangle,0.6708025,390
Male,0.0,"[1826, 803, 1916, 869]",rectangle,0.5194753,390
Female,1.0,"[734, 319, 834, 388]",rectangle,0.6751069,391
Male,0.0,"[1817, 778, 1915, 863]",rectangle,0.48246625,391
Female,1.0,"[735, 314, 834, 386]",rectangle,0.6638903,392
Male,0.0,"[1824, 760, 1919, 861]",rectangle,0.4831877,392
Female,1.0,"[735, 314, 859, 385]",rectangle,0.6789366,393
Male,0.0,"[1834, 756, 1920, 859]",rectangle,0.5057745,393
Male,0.0,"[1838, 762, 1919, 856]",rectangle,0.51593226,394
Female,1.0,"[740, 315, 818, 371]",rectangle,0.4854034,394
Male,0.0,"[1839, 770, 1918, 859]",rectangle,0.58267194,395
Male,0.0,"[1840, 768, 1919, 859]",rectangle,0.5662673,396
Male,0.0,"[1841, 767, 1919, 857]",rectangle,0.55741936,397
Male,0.0,"[1841, 768, 1919, 857]",rectangle,0.5613838,398
Male,0.0,"[1828, 770, 1918, 855]",rectangle,0.4864808,399
Female,1.0,"[1872, 657, 1920, 757]",rectangle,0.33082587,413
Female,1.0,"[1880, 665, 1920, 770]",rectangle,0.34901157,414
Male,0.0,"[1511, 359, 1604, 419]",rectangle,0.47814667,415
Female,1.0,"[1879, 672, 1920, 760]",rectangle,0.3737284,415
Male,0.0,"[1493, 355, 1577, 412]",rectangle,0.5028082,416
Female,1.0,"[1880, 669, 1920, 754]",rectangle,0.31784737,416
Male,0.0,"[1482, 360, 1563, 415]",rectangle,0.6287683,417
Female,1.0,"[1880, 662, 1919, 746]",rectangle,0.34998852,417
Male,0.0,"[1483, 368, 1564, 421]",rectangle,0.5466084,418
Female,1.0,"[1878, 662, 1919, 745]",rectangle,0.3499428,418
Male,0.0,"[1495, 368, 1567, 422]",rectangle,0.6575289,419
Female,1.0,"[1878, 664, 1919, 744]",rectangle,0.37662435,419
Male,0.0,"[1501, 365, 1569, 412]",rectangle,0.67512614,420
Male,0.0,"[1505, 361, 1569, 408]",rectangle,0.6649364,421
Male,0.0,"[1503, 361, 1567, 409]",rectangle,0.7105563,422
Male,0.0,"[1502, 362, 1566, 409]",rectangle,0.7124888,423
Male,0.0,"[1502, 362, 1566, 409]",rectangle,0.7057581,424
Male,0.0,"[1503, 362, 1566, 408]",rectangle,0.69644916,425
Male,0.0,"[1502, 362, 1566, 409]",rectangle,0.7003373,426
Male,0.0,"[1502, 361, 1566, 408]",rectangle,0.69965756,427
Male,0.0,"[1502, 361, 1566, 409]",rectangle,0.70511395,428
Male,0.0,"[1501, 361, 1566, 409]",rectangle,0.7159797,429
Male,0.0,"[1502, 361, 1566, 409]",rectangle,0.7155036,430
Male,0.0,"[1503, 362, 1566, 409]",rectangle,0.69962907,431
Male,0.0,"[1503, 362, 1566, 408]",rectangle,0.69148636,432
Male,0.0,"[1503, 362, 1566, 408]",rectangle,0.69212526,433
Male,0.0,"[1503, 361, 1566, 409]",rectangle,0.6940106,434
Male,0.0,"[1503, 361, 1566, 408]",rectangle,0.71362644,435
Male,0.0,"[1503, 361, 1566, 408]",rectangle,0.71621937,436
Male,0.0,"[1502, 361, 1566, 408]",rectangle,0.7196994,437
Male,0.0,"[1502, 361, 1566, 408]",rectangle,0.7210738,438
Male,0.0,"[1502, 361, 1566, 408]",rectangle,0.72190684,439
Male,0.0,"[1501, 361, 1566, 409]",rectangle,0.7178181,440
Male,0.0,"[1502, 361, 1566, 408]",rectangle,0.70244384,441
Male,0.0,"[1502, 361, 1566, 408]",rectangle,0.69681525,442
Male,0.0,"[1502, 361, 1566, 407]",rectangle,0.69199526,443
Male,0.0,"[1502, 361, 1566, 407]",rectangle,0.70115143,444
Male,0.0,"[1502, 361, 1566, 408]",rectangle,0.70673865,445
Male,0.0,"[1503, 361, 1566, 408]",rectangle,0.70326316,446
Male,0.0,"[1503, 361, 1567, 408]",rectangle,0.71157515,447
Male,0.0,"[1503, 361, 1570, 408]",rectangle,0.6956451,448
Male,0.0,"[1503, 362, 1576, 409]",rectangle,0.6670782,449
Male,0.0,"[1503, 362, 1582, 411]",rectangle,0.654933,450
Male,0.0,"[1503, 362, 1585, 412]",rectangle,0.6369231,451
Male,0.0,"[1504, 362, 1587, 412]",rectangle,0.6344431,452
Male,0.0,"[1504, 362, 1588, 412]",rectangle,0.63039815,453
Male,0.0,"[1504, 361, 1588, 412]",rectangle,0.6390171,454
Male,0.0,"[1503, 361, 1587, 412]",rectangle,0.66471237,455
